InvoiceID,Branch,City,CustomerType,Gender,ProductLine,UnitPrice,Quantity,Tax,Total,Date,Time,Payment,Rating, Revwithout tax, MonthName,DayOfWeek,HourOfDay,ProfitEstimate,tax, total
975-64-2267,A,Yangon,Member,Female,Fashion accessories,31.77,7.00,11.12,233.51,2019-01-14,11:27,Credit card,9.50,222.39,January,Monday,11,66.717,11.1195,289.107
931-12-4556,B,Mandalay,Normal,Female,Electronic accessories,11.12,9.00,5.00,105.08,2019-01-15,13:28,Credit card,7.50,100.08,January,Tuesday,13,30.024,5.004,130.104
918-16-6393,C,Naypyitaw,Member,Female,Fashion accessories,52.19,8.00,20.88,438.40,2019-01-16,19:36,Credit card,7.60,417.52,January,Wednesday,19,125.256,20.876,542.776
487-98-9433,B,Mandalay,Normal,Male,Electronic accessories,37.11,8.00,14.84,311.72,2019-01-17,14:15,Ewallet,6.10,296.88,January,Thursday,14,89.064,14.844,385.944
876-62-8041,A,Yangon,Normal,Female,Home and lifestyle,63.85,6.00,19.16,402.26,2019-01-18,17:06,Cash,4.30,383.1,January,Friday,17,114.93,19.155,498.03
439-69-1775,A,Yangon,Normal,Male,Baby care,36.75,4.00,7.35,154.35,2019-01-19,20:51,Ewallet,4.20,147,January,Saturday,20,44.1,7.35,191.1
134-87-4152,B,Mandalay,Member,Male,Sports and travel,36.99,8.00,14.80,310.72,2019-01-20,19:36,Credit card,6.50,295.92,January,Sunday,19,88.776,14.796,384.696
661-13-4073,C,Naypyitaw,Normal,Female,Sports and travel,76.89,3.00,11.53,242.20,2019-01-21,20:02,Credit card,4.50,230.67,January,Monday,20,69.201,11.5335,299.871
489-63-4843,C,Naypyitaw,Normal,Male,Home and lifestyle,14.33,9.00,6.45,135.42,2019-01-22,11:46,Ewallet,7.60,128.97,January,Tuesday,11,38.691,6.4485,167.661
921-72-7873,A,Yangon,Member,Female,Health and Beauty,91.26,2.00,9.13,191.65,2019-01-23,11:18,Credit card,9.30,182.52,January,Wednesday,11,54.756,9.126,237.276
655-43-5297,A,Yangon,Normal,Male,Baby care,86.70,2.00,8.67,182.07,2019-01-24,20:41,Ewallet,9.30,173.4,January,Thursday,20,52.02,8.67,225.42
369-57-8629,C,Naypyitaw,Normal,Female,Fashion accessories,70.10,7.00,24.53,515.23,2019-01-25,12:36,Credit card,8.00,490.7,January,Friday,12,147.21,24.535,637.91
826-71-7439,B,Mandalay,Normal,Male,Home and lifestyle,63.39,4.00,12.68,266.24,2019-01-26,18:54,Cash,5.30,253.56,January,Saturday,18,76.068,12.678,329.628
824-89-8916,A,Yangon,Normal,Female,Fashion accessories,90.31,8.00,36.12,758.60,2019-01-27,11:28,Cash,9.20,722.48,January,Sunday,11,216.744,36.124,939.224
437-62-5887,A,Yangon,Normal,Female,Food and beverages,26.68,9.00,12.01,252.13,2019-01-28,11:24,Credit card,9.30,240.12,January,Monday,11,72.036,12.006,312.156
316-69-9571,C,Naypyitaw,Member,Female,Sports and travel,17.11,7.00,5.99,125.76,2019-01-29,13:35,Ewallet,5.20,119.77,January,Tuesday,13,35.931,5.9885,155.701
592-50-6276,B,Mandalay,Normal,Female,Fashion accessories,31.56,5.00,7.89,165.69,2019-01-30,09:21,Cash,8.40,157.8,January,Wednesday,9,47.34,7.89,205.14
114-54-1064,C,Naypyitaw,Normal,Male,Electronic accessories,81.51,8.00,32.60,684.68,2019-01-31,09:04,Ewallet,5.70,652.08,January,Thursday,9,195.624,32.604,847.704
956-80-3568,B,Mandalay,Member,Female,Fashion accessories,13.12,4.00,2.62,55.10,2019-02-01,13:35,Credit card,8.80,52.48,February,Friday,13,15.744,2.624,68.224
443-10-3027,B,Mandalay,Member,Male,Food and beverages,62.45,2.00,6.25,131.15,2019-02-02,20:18,Ewallet,10.00,124.9,February,Saturday,20,37.47,6.245,162.37
747-97-6258,B,Mandalay,Member,Male,Baby care,99.59,6.00,29.88,627.42,2019-02-03,14:33,Cash,4.20,597.54,February,Sunday,14,179.262,29.877,776.802
598-90-1391,A,Yangon,Normal,Male,Sports and travel,87.01,9.00,39.15,822.24,2019-02-04,20:42,Ewallet,9.40,783.09,February,Monday,20,234.927,39.1545,1018.017
774-44-6892,C,Naypyitaw,Member,Female,Home and lifestyle,56.93,1.00,2.85,59.78,2019-02-05,13:28,Ewallet,7.70,56.93,February,Tuesday,13,17.079,2.8465,74.009
589-50-4099,C,Naypyitaw,Normal,Male,Food and beverages,15.73,7.00,5.51,115.62,2019-02-06,11:21,Credit card,9.80,110.11,February,Wednesday,11,33.033,5.5055,143.143
234-82-4104,B,Mandalay,Normal,Male,Sports and travel,84.82,9.00,38.17,801.55,2019-02-07,11:51,Credit card,6.80,763.38,February,Thursday,11,229.014,38.169,992.394
147-32-9996,A,Yangon,Member,Male,Fashion accessories,63.91,9.00,28.76,603.95,2019-02-08,11:08,Credit card,9.10,575.19,February,Friday,11,172.557,28.7595,747.747
198-53-9154,A,Yangon,Member,Female,Baby care,20.34,3.00,3.05,64.07,2019-02-09,14:50,Cash,4.40,61.02,February,Saturday,14,18.306,3.051,79.326
646-74-9110,C,Naypyitaw,Normal,Female,Health and Beauty,18.45,5.00,4.61,96.86,2019-02-10,10:37,Cash,6.00,92.25,February,Sunday,10,27.675,4.6125,119.925
561-12-4840,A,Yangon,Member,Male,Baby care,91.87,8.00,36.75,771.71,2019-02-11,13:51,Credit card,4.40,734.96,February,Monday,13,220.488,36.748,955.448
104-23-7938,A,Yangon,Normal,Female,Health and Beauty,70.23,8.00,28.09,589.93,2019-02-12,16:19,Credit card,9.90,561.84,February,Tuesday,16,168.552,28.092,730.392
492-88-6134,B,Mandalay,Member,Female,Electronic accessories,84.64,4.00,16.93,355.49,2019-02-13,16:31,Cash,8.90,338.56,February,Wednesday,16,101.568,16.928,440.128
957-51-8035,A,Yangon,Member,Male,Baby care,89.11,1.00,4.46,93.57,2019-02-14,11:49,Cash,9.10,89.11,February,Thursday,11,26.733,4.4555,115.843
560-60-1863,B,Mandalay,Member,Male,Sports and travel,61.46,1.00,3.07,64.53,2019-02-15,09:04,Cash,9.60,61.46,February,Friday,9,18.438,3.073,79.898
842-61-6116,C,Naypyitaw,Normal,Female,Health and Beauty,56.57,4.00,11.31,237.59,2019-02-16,11:22,Cash,4.50,226.28,February,Saturday,11,67.884,11.314,294.164
195-13-2757,A,Yangon,Member,Male,Home and lifestyle,48.74,6.00,14.62,307.06,2019-02-17,18:36,Credit card,6.30,292.44,February,Sunday,18,87.732,14.622,380.172
584-32-7374,C,Naypyitaw,Normal,Female,Sports and travel,38.53,8.00,15.41,323.65,2019-02-18,13:57,Cash,4.40,308.24,February,Monday,13,92.472,15.412,400.712
848-24-4242,C,Naypyitaw,Normal,Female,Home and lifestyle,49.11,6.00,14.73,309.39,2019-02-19,11:28,Credit card,5.30,294.66,February,Tuesday,11,88.398,14.733,383.058
640-45-7668,A,Yangon,Normal,Female,Baby care,79.65,9.00,35.84,752.69,2019-02-20,19:33,Ewallet,5.40,716.85,February,Wednesday,19,215.055,35.8425,931.905
259-80-4157,A,Yangon,Normal,Female,Home and lifestyle,64.17,9.00,28.88,606.41,2019-02-21,20:41,Ewallet,6.80,577.53,February,Thursday,20,173.259,28.8765,750.789
895-75-3693,C,Naypyitaw,Member,Female,Health and Beauty,90.33,2.00,9.03,189.69,2019-02-22,16:41,Cash,5.60,180.66,February,Friday,16,54.198,9.033,234.858
895-37-4627,A,Yangon,Normal,Female,Sports and travel,49.90,1.00,2.50,52.40,2019-02-23,14:03,Ewallet,4.60,49.9,February,Saturday,14,14.97,2.495,64.87
439-39-6450,B,Mandalay,Normal,Male,Fashion accessories,64.64,2.00,6.46,135.74,2019-02-24,10:41,Ewallet,5.00,129.28,February,Sunday,10,38.784,6.464,168.064
739-98-8392,B,Mandalay,Member,Male,Food and beverages,66.82,5.00,16.70,350.80,2019-02-25,10:56,Ewallet,4.90,334.1,February,Monday,10,100.23,16.705,434.33
484-36-7776,A,Yangon,Normal,Female,Health and Beauty,63.25,4.00,12.65,265.65,2019-02-26,12:30,Cash,9.80,253,February,Tuesday,12,75.9,12.65,328.9
727-86-6864,C,Naypyitaw,Member,Female,Health and Beauty,73.24,4.00,14.65,307.61,2019-02-27,10:30,Cash,8.60,292.96,February,Wednesday,10,87.888,14.648,380.848
358-79-6575,A,Yangon,Normal,Female,Fashion accessories,31.37,9.00,14.12,296.45,2019-02-28,12:31,Ewallet,9.80,282.33,February,Thursday,12,84.699,14.1165,367.029
510-18-5413,A,Yangon,Member,Male,Sports and travel,56.11,8.00,22.44,471.32,2019-03-01,09:58,Credit card,6.60,448.88,March,Friday,9,134.664,22.444,583.544
776-60-1663,C,Naypyitaw,Normal,Female,Sports and travel,19.38,6.00,5.81,122.09,2019-03-02,11:09,Ewallet,5.70,116.28,March,Saturday,11,34.884,5.814,151.164
926-41-2495,C,Naypyitaw,Member,Male,Baby care,44.61,1.00,2.23,46.84,2019-03-03,09:01,Cash,8.80,44.61,March,Sunday,9,13.383,2.2305,57.993
332-61-6232,B,Mandalay,Normal,Female,Home and lifestyle,53.89,2.00,5.39,113.17,2019-03-04,19:23,Cash,6.00,107.78,March,Monday,19,32.334,5.389,140.114
929-67-2291,C,Naypyitaw,Normal,Female,Baby care,68.70,6.00,20.61,432.81,2019-03-05,08:31,Cash,5.80,412.2,March,Tuesday,8,123.66,20.61,535.86
609-48-8554,B,Mandalay,Member,Male,Fashion accessories,95.55,2.00,9.56,200.66,2019-03-06,14:52,Ewallet,5.40,191.1,March,Wednesday,14,57.33,9.555,248.43
212-65-1698,C,Naypyitaw,Member,Male,Baby care,64.06,5.00,16.02,336.32,2019-03-07,18:23,Credit card,4.80,320.3,March,Thursday,18,96.09,16.015,416.39
212-11-5737,A,Yangon,Member,Female,Fashion accessories,76.92,5.00,19.23,403.83,2019-03-08,08:10,Cash,5.50,384.6,March,Friday,8,115.38,19.23,499.98
319-63-1854,B,Mandalay,Member,Female,Sports and travel,55.56,6.00,16.67,350.03,2019-03-09,14:20,Cash,6.10,333.36,March,Saturday,14,100.008,16.668,433.368
835-10-6249,B,Mandalay,Normal,Female,Home and lifestyle,67.07,6.00,20.12,422.54,2019-03-10,11:06,Ewallet,8.00,402.42,March,Sunday,11,120.726,20.121,523.146
152-53-6791,B,Mandalay,Normal,Male,Baby care,16.38,6.00,4.91,103.19,2019-03-11,17:46,Credit card,4.40,98.28,March,Monday,17,29.484,4.914,127.764
809-41-5931,A,Yangon,Member,Male,Health and Beauty,32.90,2.00,3.29,69.09,2019-03-12,09:11,Ewallet,5.30,65.8,March,Tuesday,9,19.74,3.29,85.54
538-84-5218,A,Yangon,Normal,Male,Electronic accessories,42.57,3.00,6.39,134.10,2019-03-13,08:32,Cash,8.90,127.71,March,Wednesday,8,38.313,6.3855,166.023
500-47-3327,A,Yangon,Member,Male,Food and beverages,52.52,6.00,15.76,330.88,2019-03-14,18:27,Credit card,4.90,315.12,March,Thursday,18,94.536,15.756,409.656
936-79-8125,A,Yangon,Member,Male,Health and Beauty,14.11,8.00,5.64,118.52,2019-03-15,08:46,Credit card,6.10,112.88,March,Friday,8,33.864,5.644,146.744
610-25-9800,A,Yangon,Normal,Male,Sports and travel,22.60,1.00,1.13,23.73,2019-03-16,19:52,Cash,9.20,22.6,March,Saturday,19,6.78,1.13,29.38
300-68-3511,B,Mandalay,Normal,Female,Food and beverages,34.91,1.00,1.75,36.66,2019-03-17,17:06,Credit card,4.90,34.91,March,Sunday,17,10.473,1.7455,45.383
448-12-1659,A,Yangon,Normal,Female,Electronic accessories,97.44,2.00,9.74,204.62,2019-03-18,09:41,Credit card,4.50,194.88,March,Monday,9,58.464,9.744,253.344
863-68-7546,B,Mandalay,Normal,Male,Electronic accessories,39.82,6.00,11.95,250.87,2019-03-19,15:03,Ewallet,6.90,238.92,March,Tuesday,15,71.676,11.946,310.596
445-76-9338,A,Yangon,Normal,Female,Home and lifestyle,53.38,9.00,24.02,504.44,2019-03-20,19:18,Cash,5.80,480.42,March,Wednesday,19,144.126,24.021,624.546
247-80-2843,C,Naypyitaw,Normal,Female,Food and beverages,27.65,4.00,5.53,116.13,2019-03-21,17:10,Cash,7.40,110.6,March,Thursday,17,33.18,5.53,143.78
588-42-2959,B,Mandalay,Normal,Male,Home and lifestyle,64.97,3.00,9.75,204.66,2019-03-22,15:49,Cash,8.80,194.91,March,Friday,15,58.473,9.7455,253.383
739-48-3385,C,Naypyitaw,Member,Female,Health and Beauty,35.26,8.00,14.10,296.18,2019-03-23,18:10,Cash,4.80,282.08,March,Saturday,18,84.624,14.104,366.704
971-10-2802,B,Mandalay,Member,Male,Fashion accessories,28.63,9.00,12.88,270.55,2019-03-24,20:02,Cash,7.50,257.67,March,Sunday,20,77.301,12.8835,334.971
572-59-6534,C,Naypyitaw,Member,Male,Fashion accessories,56.49,5.00,14.12,296.57,2019-03-25,19:02,Credit card,7.00,282.45,March,Monday,19,84.735,14.1225,367.185
397-16-7287,A,Yangon,Member,Female,Fashion accessories,10.50,9.00,4.73,99.23,2019-03-26,17:26,Ewallet,4.90,94.5,March,Tuesday,17,28.35,4.725,122.85
445-69-3049,A,Yangon,Member,Male,Food and beverages,10.69,2.00,1.07,22.45,2019-03-27,08:53,Cash,7.70,21.38,March,Wednesday,8,6.414,1.069,27.794
996-57-5548,A,Yangon,Normal,Male,Fashion accessories,29.72,3.00,4.46,93.62,2019-03-28,09:48,Ewallet,5.60,89.16,March,Thursday,9,26.748,4.458,115.908
136-41-8158,B,Mandalay,Member,Male,Health and Beauty,13.30,7.00,4.66,97.76,2019-03-29,09:59,Ewallet,6.90,93.1,March,Friday,9,27.93,4.655,121.03
108-28-3255,C,Naypyitaw,Member,Male,Home and lifestyle,19.72,7.00,6.90,144.94,2019-03-30,13:29,Credit card,4.50,138.04,March,Saturday,13,41.412,6.902,179.452
230-29-7295,A,Yangon,Member,Male,Food and beverages,40.50,6.00,12.15,255.15,2019-03-31,11:37,Cash,6.80,243,March,Sunday,11,72.9,12.15,315.9
153-42-2648,C,Naypyitaw,Member,Male,Home and lifestyle,82.23,6.00,24.67,518.05,2019-04-01,19:24,Credit card,5.80,493.38,April,Monday,19,148.014,24.669,641.394
519-47-5199,C,Naypyitaw,Member,Male,Food and beverages,61.48,2.00,6.15,129.11,2019-04-02,20:09,Cash,8.90,122.96,April,Tuesday,20,36.888,6.148,159.848
951-98-1098,A,Yangon,Member,Male,Home and lifestyle,56.14,6.00,16.84,353.68,2019-04-03,19:41,Credit card,4.30,336.84,April,Wednesday,19,101.052,16.842,437.892
252-27-5973,A,Yangon,Member,Female,Electronic accessories,36.41,4.00,7.28,152.92,2019-04-04,15:32,Ewallet,6.50,145.64,April,Thursday,15,43.692,7.282,189.332
437-75-3869,C,Naypyitaw,Normal,Female,Home and lifestyle,93.86,3.00,14.08,295.66,2019-04-05,20:55,Cash,6.80,281.58,April,Friday,20,84.474,14.079,366.054
262-89-1956,A,Yangon,Normal,Female,Fashion accessories,45.73,2.00,4.57,96.03,2019-04-06,16:53,Ewallet,8.40,91.46,April,Saturday,16,27.438,4.573,118.898
780-42-6699,A,Yangon,Member,Male,Electronic accessories,17.84,1.00,0.89,18.73,2019-04-07,17:46,Ewallet,7.40,17.84,April,Sunday,17,5.352,0.892,23.192
900-23-5911,A,Yangon,Normal,Male,Home and lifestyle,65.54,5.00,16.39,344.09,2019-04-08,12:53,Credit card,8.00,327.7,April,Monday,12,98.31,16.385,426.01
603-17-2218,B,Mandalay,Normal,Female,Food and beverages,20.25,2.00,2.02,42.52,2019-04-09,20:21,Cash,8.70,40.5,April,Tuesday,20,12.15,2.025,52.65
500-42-5555,C,Naypyitaw,Normal,Female,Food and beverages,41.07,2.00,4.11,86.25,2019-04-10,16:19,Ewallet,9.20,82.14,April,Wednesday,16,24.642,4.107,106.782
982-95-4446,C,Naypyitaw,Normal,Female,Food and beverages,55.67,7.00,19.48,409.17,2019-04-11,09:42,Credit card,5.90,389.69,April,Thursday,9,116.907,19.4845,506.597
121-39-4436,B,Mandalay,Member,Male,Sports and travel,88.68,8.00,35.47,744.91,2019-04-12,18:40,Cash,7.20,709.44,April,Friday,18,212.832,35.472,922.272
662-63-6895,C,Naypyitaw,Normal,Female,Health and Beauty,54.42,8.00,21.77,457.13,2019-04-13,09:31,Cash,9.00,435.36,April,Saturday,9,130.608,21.768,565.968
382-36-1225,A,Yangon,Normal,Female,Food and beverages,73.20,4.00,14.64,307.44,2019-04-14,17:24,Ewallet,9.90,292.8,April,Sunday,17,87.84,14.64,380.64
376-39-8022,C,Naypyitaw,Normal,Male,Electronic accessories,99.35,1.00,4.97,104.32,2019-04-15,09:11,Cash,9.30,99.35,April,Monday,9,29.805,4.9675,129.155
580-78-8996,A,Yangon,Member,Female,Food and beverages,21.83,7.00,7.64,160.45,2019-04-16,15:08,Ewallet,6.20,152.81,April,Tuesday,15,45.843,7.6405,198.653
915-28-8683,B,Mandalay,Member,Male,Sports and travel,34.73,1.00,1.74,36.47,2019-04-17,19:25,Cash,5.20,34.73,April,Wednesday,19,10.419,1.7365,45.149
646-73-8679,A,Yangon,Member,Male,Fashion accessories,45.51,4.00,9.10,191.14,2019-04-18,16:09,Credit card,6.90,182.04,April,Thursday,16,54.612,9.102,236.652
116-53-3205,C,Naypyitaw,Member,Male,Electronic accessories,47.96,8.00,19.18,402.86,2019-04-19,16:33,Ewallet,8.40,383.68,April,Friday,16,115.104,19.184,498.784
576-55-4444,C,Naypyitaw,Member,Female,Sports and travel,46.99,2.00,4.70,98.68,2019-04-20,11:38,Ewallet,7.00,93.98,April,Saturday,11,28.194,4.699,122.174
617-46-3327,C,Naypyitaw,Member,Female,Fashion accessories,91.68,6.00,27.50,577.58,2019-04-21,19:01,Cash,6.90,550.08,April,Sunday,19,165.024,27.504,715.104
448-55-1606,B,Mandalay,Member,Male,Baby care,74.26,6.00,22.28,467.84,2019-04-22,08:50,Cash,9.00,445.56,April,Monday,8,133.668,22.278,579.228
198-69-6088,B,Mandalay,Normal,Female,Baby care,64.71,9.00,29.12,611.51,2019-04-23,19:35,Ewallet,6.20,582.39,April,Tuesday,19,174.717,29.1195,757.107
215-72-1980,C,Naypyitaw,Normal,Female,Electronic accessories,37.84,5.00,9.46,198.66,2019-04-24,15:53,Cash,9.20,189.2,April,Wednesday,15,56.76,9.46,245.96
260-76-9319,A,Yangon,Normal,Female,Home and lifestyle,84.14,4.00,16.83,353.39,2019-04-25,18:01,Credit card,6.40,336.56,April,Thursday,18,100.968,16.828,437.528
117-34-6854,B,Mandalay,Member,Female,Health and Beauty,95.96,5.00,23.99,503.79,2019-04-26,16:13,Cash,6.00,479.8,April,Friday,16,143.94,23.99,623.74
665-67-6442,C,Naypyitaw,Member,Male,Health and Beauty,83.91,5.00,20.98,440.53,2019-04-27,09:28,Credit card,6.70,419.55,April,Saturday,9,125.865,20.9775,545.415
971-55-4863,C,Naypyitaw,Member,Female,Sports and travel,10.14,8.00,4.06,85.18,2019-04-28,19:36,Credit card,8.60,81.12,April,Sunday,19,24.336,4.056,105.456
725-41-5014,B,Mandalay,Member,Male,Fashion accessories,67.28,8.00,26.91,565.15,2019-04-29,19:19,Credit card,4.80,538.24,April,Monday,19,161.472,26.912,699.712
953-32-4009,B,Mandalay,Member,Male,Health and Beauty,14.60,2.00,1.46,30.66,2019-04-30,20:38,Credit card,5.20,29.2,April,Tuesday,20,8.76,1.46,37.96
738-36-2409,B,Mandalay,Normal,Female,Fashion accessories,33.18,7.00,11.61,243.87,2019-05-01,15:20,Credit card,9.70,232.26,May,Wednesday,15,69.678,11.613,301.938
884-42-8560,A,Yangon,Normal,Male,Fashion accessories,15.36,8.00,6.14,129.02,2019-05-02,17:45,Cash,5.10,122.88,May,Thursday,17,36.864,6.144,159.744
910-57-8206,A,Yangon,Member,Female,Sports and travel,64.34,6.00,19.30,405.34,2019-05-03,12:17,Credit card,7.40,386.04,May,Friday,12,115.812,19.302,501.852
576-51-3806,C,Naypyitaw,Member,Female,Sports and travel,71.79,5.00,17.95,376.90,2019-05-04,15:13,Cash,7.50,358.95,May,Saturday,15,107.685,17.9475,466.635
637-59-9716,B,Mandalay,Member,Male,Sports and travel,20.30,9.00,9.14,191.84,2019-05-05,09:57,Credit card,6.90,182.7,May,Sunday,9,54.81,9.135,237.51
927-16-8992,A,Yangon,Member,Male,Health and Beauty,44.55,3.00,6.68,140.33,2019-05-06,19:21,Ewallet,7.90,133.65,May,Monday,19,40.095,6.6825,173.745
135-54-3368,B,Mandalay,Normal,Male,Baby care,51.06,4.00,10.21,214.45,2019-05-07,15:05,Credit card,5.40,204.24,May,Tuesday,15,61.272,10.212,265.512
875-25-7002,C,Naypyitaw,Member,Male,Sports and travel,43.21,9.00,19.44,408.33,2019-05-08,11:44,Ewallet,7.30,388.89,May,Wednesday,11,116.667,19.4445,505.557
570-24-6919,A,Yangon,Member,Female,Health and Beauty,20.89,6.00,6.27,131.61,2019-05-09,11:21,Credit card,6.20,125.34,May,Thursday,11,37.602,6.267,162.942
826-72-1853,A,Yangon,Member,Female,Sports and travel,47.71,8.00,19.08,400.76,2019-05-10,20:35,Credit card,8.00,381.68,May,Friday,20,114.504,19.084,496.184
150-34-4769,A,Yangon,Member,Female,Food and beverages,77.61,7.00,27.16,570.43,2019-05-11,15:24,Credit card,4.80,543.27,May,Saturday,15,162.981,27.1635,706.251
674-71-2148,C,Naypyitaw,Normal,Male,Fashion accessories,16.39,2.00,1.64,34.42,2019-05-12,08:44,Ewallet,7.40,32.78,May,Sunday,8,9.834,1.639,42.614
249-67-8509,B,Mandalay,Member,Male,Sports and travel,17.22,3.00,2.58,54.24,2019-05-13,11:19,Ewallet,5.10,51.66,May,Monday,11,15.498,2.583,67.158
404-61-5777,A,Yangon,Member,Male,Electronic accessories,41.93,1.00,2.10,44.03,2019-05-14,09:37,Credit card,5.70,41.93,May,Tuesday,9,12.579,2.0965,54.509
937-24-3491,C,Naypyitaw,Normal,Female,Fashion accessories,94.76,9.00,42.64,895.48,2019-05-15,10:22,Cash,5.30,852.84,May,Wednesday,10,255.852,42.642,1108.692
712-17-4124,B,Mandalay,Normal,Male,Fashion accessories,70.17,7.00,24.56,515.75,2019-05-16,20:58,Credit card,5.10,491.19,May,Thursday,20,147.357,24.5595,638.547
671-14-6222,C,Naypyitaw,Normal,Female,Sports and travel,71.08,1.00,3.55,74.63,2019-05-17,18:04,Ewallet,9.00,71.08,May,Friday,18,21.324,3.554,92.404
295-15-1876,B,Mandalay,Member,Male,Baby care,42.57,3.00,6.39,134.10,2019-05-18,11:20,Credit card,5.70,127.71,May,Saturday,11,38.313,6.3855,166.023
983-56-7966,C,Naypyitaw,Member,Female,Home and lifestyle,63.43,4.00,12.69,266.41,2019-05-19,15:50,Ewallet,9.60,253.72,May,Sunday,15,76.116,12.686,329.836
919-25-5465,B,Mandalay,Normal,Female,Baby care,10.91,4.00,2.18,45.82,2019-05-20,14:30,Ewallet,9.80,43.64,May,Monday,14,13.092,2.182,56.732
735-39-5752,A,Yangon,Normal,Male,Sports and travel,67.25,5.00,16.81,353.06,2019-05-21,13:11,Ewallet,7.40,336.25,May,Tuesday,13,100.875,16.8125,437.125
219-72-6177,B,Mandalay,Normal,Male,Fashion accessories,92.20,3.00,13.83,290.43,2019-05-22,08:44,Credit card,4.90,276.6,May,Wednesday,8,82.98,13.83,359.58
445-71-3838,C,Naypyitaw,Normal,Female,Electronic accessories,65.13,3.00,9.77,205.16,2019-05-23,14:13,Ewallet,6.20,195.39,May,Thursday,14,58.617,9.7695,254.007
226-18-2931,C,Naypyitaw,Normal,Female,Fashion accessories,88.63,1.00,4.43,93.06,2019-05-24,20:06,Ewallet,8.80,88.63,May,Friday,20,26.589,4.4315,115.219
740-67-1512,B,Mandalay,Normal,Male,Baby care,75.16,7.00,26.31,552.43,2019-05-25,19:16,Credit card,6.20,526.12,May,Saturday,19,157.836,26.306,683.956
850-43-8805,A,Yangon,Member,Male,Electronic accessories,20.85,1.00,1.04,21.89,2019-05-26,16:53,Ewallet,4.50,20.85,May,Sunday,16,6.255,1.0425,27.105
217-57-4672,A,Yangon,Member,Female,Health and Beauty,91.22,2.00,9.12,191.56,2019-05-27,19:33,Credit card,7.30,182.44,May,Monday,19,54.732,9.122,237.172
587-10-4343,B,Mandalay,Member,Male,Food and beverages,15.98,4.00,3.20,67.12,2019-05-28,12:44,Ewallet,9.10,63.92,May,Tuesday,12,19.176,3.196,83.096
288-73-1580,B,Mandalay,Normal,Female,Fashion accessories,58.06,4.00,11.61,243.85,2019-05-29,18:51,Cash,8.80,232.24,May,Wednesday,18,69.672,11.612,301.912
889-76-4147,C,Naypyitaw,Normal,Female,Sports and travel,22.79,5.00,5.70,119.65,2019-05-30,14:39,Cash,5.10,113.95,May,Thursday,14,34.185,5.6975,148.135
253-25-4506,A,Yangon,Normal,Male,Health and Beauty,11.05,2.00,1.11,23.21,2019-05-31,18:13,Ewallet,8.00,22.1,May,Friday,18,6.63,1.105,28.73
185-66-6188,B,Mandalay,Normal,Male,Food and beverages,47.98,4.00,9.60,201.52,2019-06-01,18:32,Cash,5.30,191.92,June,Saturday,18,57.576,9.596,249.496
